"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.444892026356175,0.631326103215573,0.85043238744339,50,12
"FFRK_rf",0.480324297662571,0.590111244737127,0.822843540722956,50,12
"FFRK_rpart",0.356342130277468,0.698420247835033,0.915753527477165,50,12
"FFRK_svmRadial",0.472603683949561,0.592534884959562,0.828933334122795,50,12
"FFRK_lm",0.468199496765849,0.617755455926882,0.832697557571681,50,13
"FFRK_rf",0.488298436440946,0.586939474683411,0.816810460341717,50,13
"FFRK_rpart",0.36365525051291,0.695898123932199,0.910875773577247,50,13
"FFRK_svmRadial",0.518000671427405,0.573667068956514,0.792749789645928,50,13
"FFRK_lm",0.460359943326065,0.628357859953387,0.838500156650589,50,14
"FFRK_rf",0.49861363776871,0.583772020503584,0.808234373988287,50,14
"FFRK_rpart",0.352373903559663,0.690261604749191,0.918572054291971,50,14
"FFRK_svmRadial",0.467002052152267,0.614442781378263,0.833323879290773,50,14
"FFRK_lm",0.491604737098309,0.606668017627213,0.81386393913825,50,15
"FFRK_rf",0.513843484344626,0.57258522369869,0.795864464528031,50,15
